Generation,BestFitness,AvgFitness,MaxKills,MaxSurvival
84,0.00,-145.01,0,0
85,0.00,-90.78,0,0
86,0.00,-138.30,0,0
87,0.00,-250.56,0,0
88,0.00,0.00,0,0
89,0.00,-279.26,0,0
90,0.00,-247.89,0,0
91,892.87,-474.88,1,335
92,892.87,-209.46,0,0
93,892.87,-440.16,0,0
94,892.87,-507.17,0,0
95,892.87,-407.81,0,0
96,892.87,-300.01,0,0
97,892.87,-459.01,0,0
98,892.87,-107.83,0,0
99,892.87,-200.75,0,0
100,892.87,0.00,0,0
101,892.87,-663.04,0,0
102,892.87,-137.36,0,0
103,892.87,-275.32,0,0
104,892.87,-380.38,0,0
105,892.87,-255.54,0,0
106,892.87,-233.32,0,0
107,892.87,-297.22,0,0
108,892.87,-458.74,0,0
109,892.87,-241.96,0,0
110,892.87,-185.05,0,0
111,892.87,-580.15,0,0
112,892.87,0.00,0,0
113,892.87,-120.50,0,0
114,892.87,-171.03,0,0
115,892.87,0.00,0,0
116,892.87,-214.01,0,0
117,892.87,-146.61,0,0
118,892.87,-213.35,0,0
119,892.87,-339.63,0,0
120,892.87,-228.65,0,0
121,892.87,-339.31,0,0
122,892.87,-279.72,0,0
123,892.87,-75.86,0,0
124,892.87,-123.44,0,0
125,892.87,-197.67,1,502
126,892.87,-798.71,0,0
127,892.87,-154.20,0,0
128,892.87,-368.52,0,0
129,892.87,-225.04,0,0
130,892.87,-646.94,0,0
131,892.87,-366.24,0,0
132,892.87,-244.47,0,0
133,892.87,-78.46,0,0
134,892.87,-64.94,0,0
135,892.87,-215.62,0,0
136,892.87,-184.49,0,0
137,892.87,-438.42,0,0
138,892.87,-368.45,0,0
139,892.87,-498.98,0,0
140,892.87,0.00,0,0
141,892.87,-152.97,0,0
142,892.87,-90.80,0,0
143,892.87,-79.22,0,0
144,892.87,-236.93,0,0
145,892.87,-507.41,0,0
146,892.87,-384.81,0,0
147,892.87,-168.50,0,0
148,892.87,-135.19,0,0
149,892.87,-319.27,0,0
150,892.87,-654.63,0,0
151,892.87,-173.59,0,0
152,892.87,-93.93,0,0
153,892.87,-179.92,0,0
154,892.87,-230.62,0,0
155,892.87,-145.19,0,0
156,892.87,-232.98,0,0
157,892.87,-263.46,0,0
158,892.87,-220.47,0,0
159,892.87,0.00,0,0
160,892.87,-289.93,0,0
161,892.87,-545.49,0,0
162,892.87,-154.20,0,0
163,892.87,-217.84,0,0
164,892.87,-253.31,0,0
165,892.87,-123.72,0,0
166,892.87,-156.76,0,0
167,892.87,-118.38,0,0
168,892.87,-184.32,0,0
169,892.87,-361.96,0,0
170,892.87,-278.66,0,0
171,892.87,-60.43,0,0
172,892.87,-660.33,0,0
173,892.87,-120.62,0,0
174,892.87,-212.86,0,0
175,892.87,-206.67,0,0
176,892.87,-171.11,0,0
177,892.87,-110.86,0,0
178,892.87,-455.28,0,0
179,892.87,-152.30,0,0
180,892.87,-147.16,0,0
181,892.87,-306.62,0,0
182,892.87,-287.69,0,0
183,892.87,-539.44,0,0
184,892.87,-352.32,0,0
